board,drift_deg,roll_case,element_index,sub_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_stored_parent
default_shortboard,0,1,9,9,20459.9988665936,1023.0,19.9999988920758,0.947357587166812,2.09289836883545
default_shortboard,0,2,0,0,20459.9983861255,1023.0,19.9999984224101,44.854554016232,30.2389144897461
default_shortboard,0,2,0,1,20459.9996017984,1023.0,19.9999996107511,34.0621657628935,30.2389144897461
default_shortboard,0,2,0,2,20460.0012329328,1023.0,20.0000012052129,33.1855406022258,30.2389144897461
default_shortboard,0,2,0,3,20459.9993120776,1023.0,19.9999993275441,32.7968243552494,30.2389144897461
default_shortboard,0,2,0,4,20459.9997282701,1023.0,19.9999997343794,32.4563844592605,30.2389144897461
default_shortboard,0,2,0,5,20459.999385229,1023.0,19.9999993990508,32.1897302096884,30.2389144897461
default_shortboard,0,2,0,6,20459.9987215875,1023.0,19.9999987503299,31.9914985248055,30.2389144897461
default_shortboard,0,2,0,7,20460.0001335815,1023.0,20.0000001305782,32.345765434239,30.2389144897461
default_shortboard,0,2,0,8,20460.0007831517,1023.0,20.0000007655442,46.8094826689313,30.2389144897461
default_shortboard,0,2,0,9,,,,,30.2389144897461
default_shortboard,0,2,1,0,20459.9988012752,1023.0,19.999998828226,13.716795723796,8.99446964263916
default_shortboard,0,2,1,1,20460.0011853035,1023.0,20.0000011586545,12.4217427203426,8.99446964263916
default_shortboard,0,2,1,2,20459.9985310456,1023.0,19.9999985640719,11.2963396432842,8.99446964263916
default_shortboard,0,2,1,3,20459.9992940034,1023.0,19.9999993098762,10.9842308098331,8.99446964263916
default_shortboard,0,2,1,4,20460.0001870028,1023.0,20.0000001827985,10.6697621150846,8.99446964263916
default_shortboard,0,2,1,5,20460.0006298995,1023.0,20.0000006157375,9.74253995070835,8.99446964263916
default_shortboard,0,2,1,6,20459.9995610317,1023.0,19.999999570901,8.8687353010481,8.99446964263916
default_shortboard,0,2,1,7,20459.9997620859,1023.0,19.9999997674349,8.13887543038368,8.99446964263916
default_shortboard,0,2,1,8,20459.9993401924,1023.0,19.9999993550268,7.61928674589539,8.99446964263916
default_shortboard,0,2,1,9,20459.9991248381,1023.0,19.9999991445142,7.6450429790303,8.99446964263916
default_shortboard,0,2,2,0,20459.9997446568,1023.0,19.9999997503977,9.52020143202032,6.64287233352661
default_shortboard,0,2,2,1,20459.9994585939,1023.0,19.9999994707663,8.97458425228191,6.64287233352661
default_shortboard,0,2,2,2,20460.0007582169,1023.0,20.00000074117,8.29373249671105,6.64287233352661
default_shortboard,0,2,2,3,20459.9993410069,1023.0,19.999999355823,7.90867604875295,6.64287233352661
default_shortboard,0,2,2,4,20460.0013692559,1023.0,20.000001338471,7.50379373199472,6.64287233352661
default_shortboard,0,2,2,5,20459.9996436747,1023.0,19.9999996516859,6.58757903181637,6.64287233352661
default_shortboard,0,2,2,6,20459.9993080558,1023.0,19.9999993236127,5.46576075631218,6.64287233352661
default_shortboard,0,2,2,7,20459.9996034006,1023.0,19.9999996123173,4.8798385810727,6.64287233352661
default_shortboard,0,2,2,8,20459.999956958,1023.0,19.9999999579257,4.27568308475367,6.64287233352661
default_shortboard,0,2,2,9,20459.9995008219,1023.0,19.9999995120449,4.16422607323863,6.64287233352661
default_shortboard,0,2,3,0,20459.9993359045,1023.0,19.9999993508353,8.33150055168724,5.47038650512695
default_shortboard,0,2,3,1,20459.9996669758,1023.0,19.9999996744632,7.72591748151177,5.47038650512695
default_shortboard,0,2,3,2,20459.9986626302,1023.0,19.9999986926981,6.83667327485519,5.47038650512695
default_shortboard,0,2,3,3,20459.999269041,1023.0,19.9999992854751,6.21714556711567,5.47038650512695
default_shortboard,0,2,3,4,20460.0007340261,1023.0,20.0000007175231,5.78147995879596,5.47038650512695
default_shortboard,0,2,3,5,20459.9991474139,1023.0,19.9999991665825,5.17727174020169,5.47038650512695
default_shortboard,0,2,3,6,20460.0005595799,1023.0,20.0000005469989,4.21602836738155,5.47038650512695
default_shortboard,0,2,3,7,20459.9997137357,1023.0,19.9999997201717,3.62979136694899,5.47038650512695
default_shortboard,0,2,3,8,20460.0000298307,1023.0,20.00000002916,3.29629904833226,5.47038650512695
default_shortboard,0,2,3,9,20460.0006626165,1023.0,20.000000647719,3.77420682797939,5.47038650512695
default_shortboard,0,2,4,0,20460.0014047264,1023.0,20.0000013731441,5.78165182453145,4.22539234161377
default_shortboard,0,2,4,1,20460.001148612,1023.0,20.0000011227879,5.27847053201076,4.22539234161377
