board,drift_deg,roll_case,element_index,rho_v_kg_m2_s,rho_kgm3,scan_speed_ms,incidence_deg_derived,incidence_deg_residual,n_sub_elements
default_shortboard,10,4,3,20459.9986604504,1023,19.9999986905673,10.4639594546107,-1.51002144901481,10
default_shortboard,10,4,4,20459.9982584119,1023,19.9999982975679,8.58236375301206,-1.42869791538394,10
default_shortboard,10,4,5,20459.9993882023,1023,19.9999994019573,7.71843122890216,-0.949957137797063,10
default_shortboard,10,4,6,20459.9999123983,1023,19.9999999143678,17.2441747241431,-0.509636158425238,10
default_shortboard,10,4,7,20459.998606248,1023,19.9999986375836,9.87216890599379,-0.580456368664413,10
default_shortboard,10,4,8,20459.9978084945,1023,19.9999978577659,5.88423991008939,0.0572550277346489,10
default_shortboard,15,0,0,20459.9997118299,1023,19.9999997183088,18.3202604259011,-1.01186237683329,10
default_shortboard,15,0,1,20460.0034186036,1023,20.0000033417435,14.0513331162638,-0.0660365355305998,10
default_shortboard,15,0,2,20459.9999064225,1023,19.9999999085264,10.5694202455168,0.113449481356659,10
default_shortboard,15,0,3,20459.9993431125,1023,19.9999993578813,6.30133299468983,0.298569246520882,10
default_shortboard,15,0,4,20459.9973310718,1023,19.999997391077,4.52827671390473,-0.296452251854546,10
default_shortboard,15,0,5,20460.003125801,1023,20.0000030555239,3.46150059957096,-0.790708586982996,10
default_shortboard,15,0,6,20460.001663862,1023,20.0000016264535,2.87086154739072,-1.00774834831546,10
default_shortboard,15,0,7,20459.9986951123,1023,19.99999872445,2.58242172037958,-0.932715236789002,10
default_shortboard,15,0,8,20459.9985015841,1023,19.9999985352728,2.41887942807414,-0.893087467982986,10
default_shortboard,15,0,9,20460.0006706227,1023,20.0000006555451,2.32618465732493,-0.858540865670061,10
default_shortboard,15,1,0,20459.9993064983,1023,19.9999993220902,28.678303352498,-6.32927263627151,10
default_shortboard,15,1,1,20459.9965955669,1023,19.9999966721084,14.74809503772,-0.693373201110568,10
default_shortboard,15,1,2,20459.998535583,1023,19.9999985685073,13.123137301914,-0.357726269252955,10
default_shortboard,15,1,3,20459.9976779507,1023,19.9999977301571,6.84306518793732,0.0715798592629993,10
default_shortboard,15,1,4,20460.0004002652,1023,20.0000003912661,4.60374014311136,-0.416157794663298,10
default_shortboard,15,1,5,20459.9978803138,1023,19.9999979279705,3.37202024821274,-0.666361328325343,10
default_shortboard,15,1,6,20459.9988136375,1023,19.9999988403104,3.03647701148391,-0.632157164770367,10
default_shortboard,15,1,7,20460.0014976817,1023,20.0000014640095,2.78719726737602,-0.554851377643509,10
default_shortboard,15,1,8,20460.0008422887,1023,20.0000008233516,2.75323423444258,-0.521400126824507,10
default_shortboard,15,2,0,20459.9985916969,1023,19.9999986233597,22.7830391433882,-2.33254236906295,10
default_shortboard,15,2,1,20459.999549797,1023,19.9999995599188,8.80114576079132,-0.35232332490204,10
default_shortboard,15,2,2,20460.0006976927,1023,20.0000006820066,6.03485992590159,-0.922777384126486,10
default_shortboard,15,2,3,20460.0000109222,1023,20.0000000106766,4.39318227555164,-0.951498033744011,10
default_shortboard,15,2,4,20459.9995453365,1023,19.9999995555587,3.4734444459117,-0.522830979045573,10
default_shortboard,15,2,5,20459.9991342723,1023,19.9999991537364,3.36464970962958,-0.397229734492739,10
